---------------------------------------------------------------------------------------------------------------
---- This is a data file of an Angular Correlated Simulation of Co gammas with low energy gamma going HPGe
---------------------------------------------------------------------------------------------------------------
Crystal_ID    Number_gammas 
1  90
2  102
3  104
4  101
5  99
6  94
7  94
8  94
9  73
10  95
11  89
12  98
13  71
14  99
15  87
16  110
17  82
18  80
19  81
20  90
21  81
22  90
23  82
24  96
25  82
26  93
27  86
28  103
29  69
30  91
31  78
32  67
33  71
34  104
35  73
36  97
37  69
38  85
39  78
40  76
41  69
42  77
43  103
44  73
45  84
46  81
47  83
48  63
49  55
50  64
51  83
52  78
53  57
54  71
55  80
56  65
57  51
58  86
59  101
60  49
61  62
62  95
63  82
64  53
65  90
66  91
67  89
68  96
69  88
70  85
71  92
72  79
73  83
74  73
75  73
76  100
77  87
78  90
79  68
80  97
81  72
82  74
83  71
84  84
85  77
86  86
87  70
88  84
89  72
90  94
91  74
92  88
93  84
94  93
95  84
96  91
97  69
98  80
99  85
100  81
101  77
102  71
103  85
104  88
105  74
106  77
107  81
108  69
109  82
110  74
111  74
112  75
113  59
114  65
115  62
116  70
117  58
118  65
119  64
120  44
121  44
122  88
123  95
124  54
125  57
126  107
127  80
128  48
