---------------------------------------------------------------------------------------------------------------
---- This is a data file of an Angular Correlated Simulation of Co gammas with low energy gamma going HPGe
---------------------------------------------------------------------------------------------------------------
Crystal_ID    Number_gammas 
1  251
2  300
3  302
4  318
5  279
6  290
7  276
8  321
9  283
10  316
11  310
12  334
13  281
14  308
15  268
16  310
17  274
18  303
19  240
20  328
21  282
22  282
23  253
24  317
25  244
26  275
27  254
28  278
29  218
30  314
31  259
32  283
33  228
34  276
35  240
36  309
37  218
38  263
39  205
40  277
41  221
42  222
43  277
44  229
45  214
46  232
47  225
48  190
49  169
50  207
51  267
52  194
53  171
54  211
55  226
56  200
57  175
58  314
59  320
60  192
61  156
62  288
63  310
64  170
65  302
66  342
67  295
68  320
69  251
70  306
71  270
72  352
73  288
74  319
75  277
76  320
77  285
78  305
79  304
80  289
81  278
82  303
83  260
84  340
85  250
86  307
87  269
88  318
89  241
90  286
91  261
92  316
93  261
94  278
95  266
96  328
97  256
98  295
99  236
100  300
101  256
102  297
103  236
104  295
105  234
106  271
107  232
108  232
109  249
110  238
111  270
112  193
113  202
114  240
115  218
116  178
117  219
118  234
119  231
120  212
121  170
122  320
123  318
124  175
125  192
126  347
127  309
128  176
