N1_1_1 SAM6_GTB0_TAC1_CH1
N1_1_2 SAM6_GTB0_TAC1_CH9
N1_2_1 SAM6_GTB0_TAC1_CH2
N1_2_2 SAM6_GTB0_TAC1_CH10
N1_3_1 SAM6_GTB0_TAC1_CH3
N1_3_2 SAM6_GTB0_TAC1_CH11
N1_4_1 SAM6_GTB0_TAC1_CH4
N1_4_2 SAM6_GTB0_TAC1_CH12
N1_5_1 SAM6_GTB0_TAC1_CH5
N1_5_2 SAM6_GTB0_TAC1_CH13
N1_6_1 SAM6_GTB0_TAC1_CH6
N1_6_2 SAM6_GTB0_TAC1_CH14
N1_7_1 SAM6_GTB0_TAC1_CH7
N1_7_2 SAM6_GTB0_TAC1_CH15
N1_8_1 SAM6_GTB0_TAC1_CH8
N1_8_2 SAM6_GTB0_TAC1_CH16
N1_9_1 SAM6_GTB0_TAC2_CH1
N1_9_2 SAM6_GTB0_TAC2_CH9
N1_10_1 SAM6_GTB0_TAC2_CH2
N1_10_2 SAM6_GTB0_TAC2_CH10
N1_11_1 SAM6_GTB0_TAC2_CH3
N1_11_2 SAM6_GTB0_TAC2_CH11
N1_12_1 SAM6_GTB0_TAC2_CH4
N1_12_2 SAM6_GTB0_TAC2_CH12
N1_13_1 SAM6_GTB0_TAC2_CH5
N1_13_2 SAM6_GTB0_TAC2_CH13
N1_14_1 SAM6_GTB0_TAC2_CH6
N1_14_2 SAM6_GTB0_TAC2_CH14
N1_15_1 SAM6_GTB0_TAC2_CH7
N1_15_2 SAM6_GTB0_TAC2_CH15
N1_16_1 SAM6_GTB0_TAC2_CH8
N1_16_2 SAM6_GTB0_TAC2_CH16
N1_17_1 SAM6_GTB0_TAC5_CH1
N1_17_2 SAM6_GTB0_TAC5_CH9
N1_18_1 SAM6_GTB0_TAC5_CH2
N1_18_2 SAM6_GTB0_TAC5_CH10
N1_19_1 SAM6_GTB0_TAC5_CH3
N1_19_2 SAM6_GTB0_TAC5_CH11
N1_20_1 SAM6_GTB0_TAC5_CH4
N1_20_2 SAM6_GTB0_TAC5_CH12
N2_1_1 SAM6_GTB0_TAC3_CH1
N2_1_2 SAM6_GTB0_TAC3_CH9
N2_2_1 SAM6_GTB0_TAC3_CH2
N2_2_2 SAM6_GTB0_TAC3_CH10
N2_3_1 SAM6_GTB0_TAC3_CH3
N2_3_2 SAM6_GTB0_TAC3_CH11
N2_4_1 SAM6_GTB0_TAC3_CH4
N2_4_2 SAM6_GTB0_TAC3_CH12
N2_5_1 SAM6_GTB0_TAC3_CH5
N2_5_2 SAM6_GTB0_TAC3_CH13
N2_6_1 SAM6_GTB0_TAC3_CH6
N2_6_2 SAM6_GTB0_TAC3_CH14
N2_7_1 SAM6_GTB0_TAC3_CH7
N2_7_2 SAM6_GTB0_TAC3_CH15
N2_8_1 SAM6_GTB0_TAC3_CH8
N2_8_2 SAM6_GTB0_TAC3_CH16
N2_9_1 SAM6_GTB0_TAC4_CH1
N2_9_2 SAM6_GTB0_TAC4_CH9
N2_10_1 SAM6_GTB0_TAC4_CH2
N2_10_2 SAM6_GTB0_TAC4_CH10
N2_11_1 SAM6_GTB0_TAC4_CH3
N2_11_2 SAM6_GTB0_TAC4_CH11
N2_12_1 SAM6_GTB0_TAC4_CH4
N2_12_2 SAM6_GTB0_TAC4_CH12
N2_13_1 SAM6_GTB0_TAC4_CH5
N2_13_2 SAM6_GTB0_TAC4_CH13
N2_14_1 SAM6_GTB0_TAC4_CH6
N2_14_2 SAM6_GTB0_TAC4_CH14
N2_15_1 SAM6_GTB0_TAC4_CH7
N2_15_2 SAM6_GTB0_TAC4_CH15
